id;name;code;phone;email;address;id_distributor;status
1;Borders;driver port Associate;0296 5547 1134;Thnht_Vng16@gmail.com;Vatu redundant;95929;synthesize Kenya
2;revolutionize;Soap Multi-layered;020 5675 4307;UynNghi_Bi@yahoo.com;exploit Loan Fully-configurable;49032;feed TCP Walks
3;Account Tennessee Operations;Fish New;0244 1810 4607;ThinTrang.Trn@gmail.com;Shoes structure TCP;11942;value-added hacking
4;Front-line;optical;021 8976 0532;TNhi_Nguyn@yahoo.com;sexy;36517;Metrics calculating
5;granular Dinar;index Fresh;0218 1849 8515;TQuyn84@hotmail.com;Account;39396;grow
6;Generic;Rubber Handmade generating;026 9916 3628;NamLc.72@gmail.com;convergence navigating;66233;Focused
7;Vista Fantastic;Fords;0222 0309 8466;TuytNhi.Phm@hotmail.com;Global multi-byte;61803;Dollar firmware Caribbean
8;compress Fish Plastic;Ball;0294 5164 7348;MinhHuyn.Phng95@yahoo.com;National benchmark Accounts;53971;paradigms
9;Dollar;granular Wyoming;023 1671 2870;NhMai.H47@yahoo.com;multi-byte Cambridgeshire navigating;82512;Tuna
10;Wooden harness;Generic Unbranded;0243 8574 5446;DuyKhnh62@yahoo.com;redefine neural-net;67620;red
